1.5	0.094	0.953
2.25	0.106	0.947
3.375	0.22	0.8925
5.0625	0.298	0.85775
7.59375	0.48	0.77825
11.390625	0.712	0.697375
17.0859375	0.898	0.64975
25.62890625	1.44	0.5020625
38.443359375	1.78	0.461890625
57.6650390625	2.502	0.3767890625
86.49755859375	3.39	0.29705908203125
129.746337890625	4.478	0.2377121124267578
194.6195068359375	5.452	0.18538373231887817
291.92926025390625	6.99	0.16320369547605515
437.8938903808594	8.814	0.12942166869068752
656.8408355712891	11.22	0.11767026899820122
985.2612533569336	14.868	0.0786274630054632
1477.8918800354004	19.334	0.05827214135072255
2216.8378200531006	21.054	0.06148247056965439
3325.256730079651	29.906	0.03810514693129409
4987.885095119476	35.202	0.03274337797825913
7481.8276426792145	40.73	0.038144227421807876
11222.741464018822	52.984	0.02074647578588098
16834.112196028233	60.204	0.027153579079417657
25251.16829404235	80.002	0.012554424339763224
37876.75244106352	97.164	0.007909707600693875
56815.128661595285	115.112	0.01330087888524136
85222.69299239293	142.452	0.008533668387132676
127834.03948858939	180.212	0.012770306767374286
191751.0592328841	220.372	0.007755027129941162
287626.58884932613	258.954	0.0013872874962198042
431439.8832739892	329.782	0.0030652269745412132
